CustomerNo,Recency,Frequency,Monetary,Cluster
12728,72,4,4979.25,cluster_1
12729,114,1,2794.86,cluster_1
12731,24,12,102510.58,cluster_0
12732,180,2,3048.2,cluster_3
12733,235,2,2176.99,cluster_3
12734,353,1,801.6,cluster_3
12735,316,2,4367.49,cluster_3
12736,333,1,1869.6,cluster_3
12738,373,1,1647.17,cluster_3
12739,100,1,5971.02,cluster_1
12740,64,1,3943.22,cluster_1
12742,34,1,46.13,cluster_1
12743,135,2,3751.57,cluster_1
12744,57,4,63480.95,cluster_1
12747,3,11,15438.2,cluster_1
12748,1,207,266515.64,cluster_2
12749,4,5,17525.86,cluster_1
12750,129,1,1686.92,cluster_1
12752,82,1,26757.76,cluster_1
12753,23,6,136322.73,cluster_0
12754,236,3,69523.14,cluster_3
12755,281,2,19184.42,cluster_3
12756,87,1,1590.72,cluster_1
12757,16,11,32522.72,cluster_1
12758,117,2,20139.94,cluster_1
12759,53,3,10370.7,cluster_1
12760,102,1,4648.16,cluster_1
12761,59,1,210.39,cluster_1
12762,8,3,9736.92,cluster_1
12763,139,3,4198.93,cluster_1
12764,317,1,5692.32,cluster_3
12766,4,7,40429.88,cluster_1
12769,239,1,4652.27,cluster_3
12770,211,1,8404.06,cluster_3
12772,60,1,6358.97,cluster_1
12775,18,5,10229.43,cluster_1
12777,19,2,12933.12,cluster_1
12778,20,6,9084.33,cluster_1
12779,10,12,34260.57,cluster_0
12781,64,2,7674.44,cluster_1
12782,5,5,12179.67,cluster_1
12783,3,4,6599.9800000000005,cluster_1
12784,16,1,2033.17,cluster_1
12785,365,1,1221.82,cluster_3
12787,10,3,2723.08,cluster_1
12788,15,1,24.76,cluster_1
12789,66,1,109.52,cluster_1
12790,193,1,1983.08,cluster_3
12791,374,1,1166.4,cluster_3
12792,257,1,2556.83,cluster_3
12793,335,2,2665.64,cluster_3
12794,54,2,6768.41,cluster_1
12795,19,1,982.32,cluster_1
12796,151,1,5650.02,cluster_3
12797,366,1,1430.82,cluster_3
12798,11,3,52015.44,cluster_1
12802,187,1,3605.02,cluster_3
12803,179,1,6598.74,cluster_3
12808,37,3,2018.71,cluster_1
12809,159,2,3695.33,cluster_3
12810,179,1,11.98,cluster_3
12811,262,2,2376.45,cluster_3
12812,45,1,1916.0,cluster_1
12814,102,1,579.84,cluster_1
12815,148,2,4571.33,cluster_3
12816,96,2,1695.5,cluster_1
12817,102,2,6707.54,cluster_1
12818,262,1,10641.32,cluster_3
12820,4,5,12348.48,cluster_1
12821,215,1,812.56,cluster_3
12822,71,2,6060.9800000000005,cluster_1
12823,75,5,4160.7,cluster_1
12824,60,2,3327.29,cluster_1
12826,3,7,10393.34,cluster_1
12827,6,3,2154.89,cluster_1
12828,3,6,4974.54,cluster_1
12829,24,3,4609.83,cluster_1
12830,38,7,112345.34,cluster_1
12831,263,1,1603.85,cluster_3
12832,33,3,2429.99,cluster_1
12833,146,1,2026.6,cluster_3
12834,283,1,1447.5,cluster_3
12836,60,4,13141.71,cluster_1
12837,159,2,1576.44,cluster_3
12838,34,2,4327.03,cluster_1
12839,3,14,39680.04,cluster_0
12840,144,4,14072.85,cluster_1
12841,5,26,36241.33,cluster_0
12842,71,2,6753.099999999999,cluster_1
12843,66,9,14832.05,cluster_1
12844,30,2,1615.17,cluster_1
12845,15,5,2461.6,cluster_1
12847,23,1,9812.86,cluster_1
12849,32,2,6952.42,cluster_1
12851,97,1,1209.21,cluster_1
12852,295,1,1846.66,cluster_3
12853,135,6,9778.98,cluster_1
12854,79,3,7764.93,cluster_1
12855,373,1,346.5,cluster_3
12856,8,6,12197.39,cluster_1
12857,211,2,4649.38,cluster_3
12858,367,1,179.29999999999998,cluster_3
12863,53,2,2481.81,cluster_1
12864,139,1,2364.84,cluster_1
12865,27,2,11087.98,cluster_1
12866,284,1,2184.52,cluster_3
12867,27,8,47666.6,cluster_1
12868,186,6,11158.25,cluster_3
12871,85,2,2439.66,cluster_1
12872,327,2,3884.21,cluster_3
12873,283,1,1694.88,cluster_3
12875,144,2,21037.98,cluster_1
12876,58,4,44396.47,cluster_1
12877,4,12,12768.1,cluster_1
12878,186,3,6314.089999999999,cluster_3
12879,45,3,4379.12,cluster_1
12881,276,2,1834.54,cluster_3
12882,10,2,2397.94,cluster_1
12883,25,4,2729.83,cluster_1
12884,89,2,5612.92,cluster_1
12885,64,3,7857.97,cluster_1
12886,68,2,9180.33,cluster_1
12888,215,2,1141.76,cluster_3
12890,25,1,2997.31,cluster_1
12891,186,3,10078.0,cluster_3
12892,212,1,30.99,cluster_3
12893,31,1,1016.66,cluster_1
12895,43,3,10016.39,cluster_1
12896,159,1,77.61,cluster_3
12897,205,2,1349.6,cluster_3
12900,29,1,95.1,cluster_1
12901,9,28,244287.79,cluster_0
12902,265,1,818.54,cluster_3
12904,19,2,3521.94,cluster_1
12906,12,5,18246.42,cluster_1
12907,178,1,46.48,cluster_3
12908,177,2,13068.0,cluster_3
12909,40,6,19483.07,cluster_1
12910,24,8,18642.1,cluster_1
12912,3,5,5512.84,cluster_1
12913,5,5,11059.79,cluster_1
12914,150,1,1668.46,cluster_3
12915,149,2,1325.96,cluster_3
12916,139,4,13748.41,cluster_1
12917,129,1,919.2,cluster_1
12919,9,6,6597.84,cluster_1
12920,18,2,2144.27,cluster_1
12921,10,37,94853.69,cluster_0
12922,162,1,4207.96,cluster_3
12923,65,1,862.53,cluster_1
12924,89,6,10395.74,cluster_1
12925,5,2,4826.72,cluster_1
12927,186,1,762.72,cluster_3
12928,36,6,20415.18,cluster_1
12929,52,2,535.39,cluster_1
12930,79,2,3008.77,cluster_1
12931,22,16,319041.1,cluster_0
12933,25,3,5731.26,cluster_1
12934,27,1,45.3,cluster_1
12935,3,7,19074.18,cluster_1
12936,18,5,7297.69,cluster_1
12937,16,5,12564.55,cluster_1
12938,26,1,1552.1,cluster_1
12939,65,8,53913.04,cluster_1
12940,55,2,5062.57,cluster_1
12942,132,3,2685.34,cluster_1
12944,36,2,3504.6,cluster_1
12945,289,1,1922.57,cluster_3
12947,144,6,12748.92,cluster_1
12948,17,7,11880.64,cluster_1
12949,31,8,28495.06,cluster_1
12950,3,3,9659.92,cluster_1
12951,9,7,5184.56,cluster_1
12952,6,4,7084.06,cluster_1
12953,10,1,519.96,cluster_1
12954,101,1,63.900000000000006,cluster_1
12955,2,11,36287.4,cluster_1
12956,307,1,459.2,cluster_3
12957,10,8,26663.12,cluster_1
12958,197,1,1263.0,cluster_3
12960,197,1,1140.87,cluster_3
12962,8,2,1224.13,cluster_1
12963,9,8,9224.72,cluster_1
12965,90,1,3643.69,cluster_1
12966,10,1,543.0,cluster_1
12967,197,3,6207.75,cluster_3
12968,113,1,887.5699999999999,cluster_1
12970,8,4,1849.15,cluster_1
12971,4,86,100914.98,cluster_0
12974,78,3,1209.68,cluster_1
12976,212,1,4269.66,cluster_3
12977,157,1,163.23000000000002,cluster_3
12980,158,9,16637.780000000002,cluster_1
12981,30,2,2742.46,cluster_1
12982,243,2,3405.12,cluster_3
12984,19,1,366.34,cluster_1
12985,1,3,18503.76,cluster_1
12986,233,1,4920.32,cluster_3
12987,74,3,7234.86,cluster_1
12988,293,1,1809.72,cluster_3
12989,4,15,36804.07,cluster_0
12990,32,3,1358.8000000000002,cluster_1
12991,24,2,4666.84,cluster_1
12993,24,5,6238.36,cluster_1
12994,5,3,4740.06,cluster_1
12995,86,1,1323.72,cluster_1
12997,23,4,8062.98,cluster_1
12999,197,3,3972.94,cluster_3
13000,107,3,4433.05,cluster_1
13001,5,13,63495.74,cluster_0
13002,319,1,872.2099999999999,cluster_3
13003,106,3,1208.39,cluster_1
13004,12,18,52053.93,cluster_0
13005,174,2,2289.55,cluster_3
13006,57,1,647.32,cluster_1
13008,324,1,1909.66,cluster_3
13009,228,2,2086.68,cluster_3
13011,240,2,225.36,cluster_3
13012,10,10,18194.97,cluster_1
13013,2,13,27081.9,cluster_0
13014,11,10,11952.66,cluster_1
13015,54,5,19753.87,cluster_1
13016,74,3,6210.6,cluster_1
13017,8,1,297.12,cluster_1
13018,17,28,60984.7,cluster_0
13021,5,9,15085.05,cluster_1
13023,3,4,12316.55,cluster_1
13024,85,2,13358.61,cluster_1
13025,44,2,584.84,cluster_1
13026,2,5,15401.16,cluster_1
13027,114,6,184204.8,cluster_0
13028,23,2,8616.18,cluster_1
13029,31,3,2470.7,cluster_1
13030,12,2,3230.9,cluster_1
13032,53,2,4484.72,cluster_1
13033,358,1,740.11,cluster_3
13034,55,2,4440.889999999999,cluster_1
13035,74,3,7583.59,cluster_1
13037,18,4,5146.86,cluster_1
13038,81,3,4621.18,cluster_1
13040,9,2,3244.45,cluster_1
13043,274,1,3132.7,cluster_3
13044,292,2,5141.86,cluster_3
13045,100,1,2268.34,cluster_1
13046,31,2,3235.59,cluster_1
13047,57,9,17560.47,cluster_1
13048,15,4,11061.93,cluster_1
13049,65,2,3420.04,cluster_1
13050,15,17,42734.59,cluster_0
13052,213,1,2632.14,cluster_3
13055,79,3,10228.51,cluster_1
13058,25,3,811.13,cluster_1
13059,250,1,546.64,cluster_3
13060,93,2,7713.34,cluster_1
13061,73,1,1232.0,cluster_1
13062,192,1,3847.08,cluster_3
13064,13,4,5528.51,cluster_1
13065,374,1,969.49,cluster_3
13066,25,2,3782.84,cluster_1
13067,83,1,421.51,cluster_1
13068,11,2,1321.0,cluster_1
13069,1,24,63226.14,cluster_0
13070,193,1,866.6000000000001,cluster_3
13072,267,1,888.78,cluster_3
13075,130,1,5232.42,cluster_1
13076,38,1,13319.57,cluster_1
13077,2,4,8508.79,cluster_1
13078,4,26,64169.67,cluster_0
13079,5,5,758.1,cluster_1
13080,180,1,1289.52,cluster_3
13081,12,11,212622.48,cluster_0
13082,127,9,47783.04,cluster_1
13083,5,2,1932.58,cluster_1
13085,158,2,2640.2,cluster_3
13089,3,98,354356.08,cluster_2
13090,9,13,31264.75,cluster_0
13091,29,3,6803.04,cluster_1
13092,71,5,3349.11,cluster_1
13093,276,8,43563.5,cluster_3
13094,22,12,19570.2,cluster_1
13095,71,1,1552.44,cluster_1
13097,33,10,30045.98,cluster_1
13098,2,28,160510.77,cluster_0
13099,100,1,3165.12,cluster_1
13101,235,1,1262.04,cluster_3
13102,2,24,47801.35,cluster_0
13103,40,1,1090.42,cluster_1
13104,4,6,5505.24,cluster_1
13106,134,1,262.98,cluster_1
13107,45,4,14583.86,cluster_1
13108,373,1,3413.5,cluster_3
13109,60,3,12083.68,cluster_1
13110,32,7,5483.84,cluster_1
13113,1,25,47733.65,cluster_0
13114,130,1,4215.21,cluster_1
13115,12,4,15665.8,cluster_1
13116,139,1,3496.2,cluster_1
13117,22,9,10889.55,cluster_1
13118,20,6,6517.3,cluster_1
13120,239,1,154.32,cluster_3
13121,148,2,2877.98,cluster_3
13122,95,2,6941.33,cluster_1
13124,9,4,25746.28,cluster_1
13126,5,8,21919.32,cluster_1
13127,78,1,1567.2,cluster_1
13130,95,1,393.56,cluster_1
13131,24,3,5084.24,cluster_1
13132,262,1,284.16,cluster_3
13133,274,2,440.5,cluster_3
13134,86,4,12201.82,cluster_1
13135,78,2,55274.44,cluster_1
13136,57,7,19605.84,cluster_1
13137,11,8,23332.25,cluster_1
13138,23,6,5834.17,cluster_1
13139,17,7,24825.46,cluster_1
13140,109,3,2322.94,cluster_1
13141,85,5,17413.35,cluster_1
13142,20,1,2959.09,cluster_1
13144,333,1,328.92,cluster_3
13145,40,4,2468.06,cluster_1
13146,27,1,1813.01,cluster_1
13147,11,4,1767.84,cluster_1
13148,30,14,42045.03,cluster_0
13149,15,5,16005.26,cluster_1
13151,296,1,5009.48,cluster_3
13153,6,2,8860.119999999999,cluster_1
13154,366,1,516.16,cluster_3
13155,34,5,11060.81,cluster_1
13157,50,5,14339.41,cluster_1
13158,95,4,8131.84,cluster_1
13159,9,4,10921.77,cluster_1
13160,23,1,668.2399999999999,cluster_1
13161,314,1,412.75,cluster_3
13162,123,5,31480.91,cluster_1
13165,47,2,15150.08,cluster_1
13166,284,1,2641.38,cluster_3
13167,19,4,8716.32,cluster_1
13168,37,4,8074.269999999999,cluster_1
13169,64,2,3519.0,cluster_1
13170,27,1,1556.6,cluster_1
13171,22,4,2955.2,cluster_1
13173,5,3,4835.6,cluster_1
13174,17,4,18338.34,cluster_1
13176,47,1,5019.7,cluster_1
13177,43,2,1236.59,cluster_1
13178,27,11,32603.11,cluster_1
13181,22,1,7804.559999999999,cluster_1
13182,46,1,2184.32,cluster_1
13183,8,9,25382.46,cluster_1
13184,15,10,18023.73,cluster_1
13185,268,1,196.2,cluster_3
13186,40,3,9956.86,cluster_1
13187,12,2,10146.27,cluster_1
13188,12,1,148.56,cluster_1
13189,19,2,8897.2,cluster_1
13190,120,1,57.65,cluster_1
13192,96,2,6245.46,cluster_1
13193,62,1,586.35,cluster_1
13194,136,2,376.1,cluster_1
13196,12,4,13432.45,cluster_1
13198,11,6,27903.21,cluster_1
13199,4,37,69775.96,cluster_0
13200,20,4,6131.54,cluster_1
13201,296,1,1326.91,cluster_3
13203,10,4,8127.89,cluster_1
13204,256,1,357.98,cluster_3
13207,16,2,1299.34,cluster_1
13208,60,5,9084.04,cluster_1
13209,31,8,47038.43,cluster_1
13210,94,1,3601.68,cluster_1
13211,11,3,8311.53,cluster_1
13212,20,3,3949.81,cluster_1
13213,57,5,15496.58,cluster_1
13216,268,2,8512.44,cluster_3
13217,123,5,13335.21,cluster_1
13218,128,1,966.36,cluster_1
13219,330,1,14619.62,cluster_3
13220,79,4,2767.96,cluster_1
13221,241,2,3356.42,cluster_3
13222,57,1,45.35,cluster_1
13223,201,2,1069.16,cluster_3
